gene_name number_of_transposon_per_gene number_of_read_per_gene
YCR108C 8 31
COS7 8 16
YDL247W-A 0 0
MPH2 12 11
SOR2 2 1
HXT15 14 254
THI13 20 284
AAD4 30 1175
YDL242W 12 569
YDL241W 11 50
YDL240C-A 19 598
LRG1 31 970
ADY3 37 1022
GUD1 14 130
AIM6 13 375
PHO13 8 189
YPD1 3 3
GYP7 47 2012
MFG1 13 306
OST4 0 0
BRE4 35 1218
PTP1 27 1096
SSB1 14 246
YDL228C 10 72
HO 81 2323
GCS1 1 0
SHS1 22 761
WHI4 39 1355
HBT1 69 3312
FMP45 11 239
YDL221W 63 4422
CDC13 36 1650
DTD1 9 202
YDL218W 26 1649
TIM22 2 6
RRI1 30 1325
GDH2 89 3867
PRR2 46 2581
NOP6 23 1338
SHR3 4 8
YDL211C 34 961
UGA4 39 1221
CWC2 1 0
NHP2 3 17
GLE1 1 0
YDL206W 23 834
HEM3 5 5
RTN2 17 778
ACK1 35 474
MRPL11 3 19
TRM8 15 321
MGT1 20 556
YDL199C 20 675
GGC1 2 1
ASF2 38 1549
YDL196W 45 2712
SEC31 3 2
SNF3 22 496
NUS1 0 0
ARF1 3 2
RPL35A 1 0
UFD2 38 1546
RBS1 15 125
PPH22 27 1338
YDL187C 8 51
YDL186W 6 50
YDL185C-A 13 500
VMA1 2 1
RPL41A 1 0
YDL183C 26 851
LYS20 24 1312
INH1 8 78
YDL180W 12 199
PCL9 6 23
DLD2 33 1292
YDL177C 12 586
YDL176W 15 281
AIR2 17 531
DLD1 39 1969
PAR32 15 240
YDL172C 10 37
GLT1 109 6236
UGA3 44 1803
UGX2 11 145
SFA1 12 410
NRP1 28 782
FAP7 1 0
CDC36 1 0
CDC9 3 4
YDL163W 1 0
YDL162C 32 1235
ENT1 20 679
MHF2 9 213
DHH1 6 22
YDL159W-A 19 206
STE7 39 1750
YDL159C-B 2 9
YDL158C 10 439
YDL157C 4 35
CMR1 69 3922
CLB3 21 603
MSH5 48 1827
SAS10 2 7
YDL152W 8 197
BUD30 0 0
RPC53 1 0
ATG9 9 174
NOP14 10 26
RPN5 4 4
LDB17 17 288
COP1 1 0
YDL144C 37 1831
CCT4 0 0
CRD1 12 135
BPL1 5 222
RPO21 17 72
SCM3 0 0
RGT2 36 1770
ARF2 11 123
RPL35B 7 136
RDI1 7 306
PPH21 25 795
RPL41B 0 0
SRF1 21 469
CDC53 11 52
LYS21 25 743
STF1 3 3
RPP1B 6 213
YDL129W 30 1241
VCX1 22 743
PCL2 44 2107
CDC48 12 22
HNT1 21 359
YDL124W 17 985
SNA4 18 479
UBP1 23 824
YDL121C 21 675
YFH1 0 0
YDL119C 6 204
