gene_name number_of_transposon_per_gene number_of_read_per_gene
MEC3 26 908
GUF1 26 618
YLR290C 7 17
GCD7 2 1
SEC72 6 70
GSP1 1 0
YLR294C 14 190
ATP14 1 0
YLR296W 20 934
YLR297W 2 30
YHC1 14 292
ECM38 91 5487
YLR299C-A 15 453
EXG1 17 486
HRI1 5 17
YLR302C 26 1088
MET17 6 47
ACO1 10 88
STT4 13 24
UBC12 8 54
CDA1 20 260
YLR307C-A 1 0
CDA2 20 587
IMH1 38 1065
CDC25 9 64
YLR311C 19 396
YLR312C 11 218
MRPL15 1 0
SPH1 15 351
CDC3 3 2
NKP2 6 88
TAD3 2 1
YLR317W 1 0
EST2 40 1528
BUD6 15 253
MMS22 8 92
SFH1 9 119
VPS65 5 42
CWC24 4 14
PEX30 5 19
RPL38 1 0
YLR326W 16 526
TMA10 3 15
NMA1 23 1450
REC102 12 684
CHS5 14 260
JIP3 2 4
MID2 6 69
RPS25B 12 227
YLR334C 18 280
NUP2 11 115
SGD1 11 57
VRP1 8 169
OPI9 2 1
YLR339C 0 0
RPP0 1 0
SPO77 6 100
FKS1 10 147
YLR342W-A 15 174
GAS2 26 715
RPL26A 8 133
YLR345W 17 216
YLR346C 4 5
KAP95 2 1
YLR347W-A 0 0
DIC1 40 2775
YLR349W 20 1487
ORM2 4 3
NIT3 17 205
YLR352W 16 407
BUD8 32 334
TAL1 4 5
ILV5 9 22
ATG33 11 205
RSC2 9 195
YLR358C 10 365
ADE13 0 0
VPS38 8 217
DCR2 23 1421
YLR361C-A 4 6
STE11 31 1096
NMD4 7 221
YLR363W-A 0 0
GRX8 1 0
YLR365W 3 105
YLR364C-A 2 3
YLR366W 18 484
RPS22B 14 314
MDM30 5 17
SSQ1 2 1
ARC18 0 0
ROM2 19 344
ELO3 9 22
VID22 7 108
YLR374C 40 1204
STP3 32 999
PSY3 14 295
FBP1 43 2910
SEC61 1 0
YLR379W 1 0
CSR1 48 1983
CTF3 7 26
NAM2 3 2
SMC6 4 39
IKI3 24 308
SWC7 6 27
VAC14 7 207
REH1 11 187
RPS29A 5 16
STE23 48 2431
ECM19 10 32
CCW14 6 112
ART10 32 1032
ATP10 2 6
CST9 10 95
COX8 4 47
VPS33 8 9
AFG2 1 0
SKI2 12 70
BDF1 2 1
YLR399W-A 0 0
YLR400W 22 878
DUS3 36 2188
YLR402W 4 35
SFP1 7 11
FLD1 5 11
DUS4 20 697
RPL31B 21 495
YLR406C-A 10 227
YLR407W 8 32
BLS1 6 150
UTP21 4 3
VIP1 46 1434
CTR3 37 1507
BER1 3 3
YLR412C-A 0 0
INA1 21 886
PUN1 28 1486
YLR415C 32 1430
YLR416C 23 929
VPS36 5 17
CDC73 5 39
YLR419W 53 1202
URA4 12 177
RPN13 8 139
YLR422W 58 2734
ATG17 1 0
SPP382 4 57
TUS1 30 775
TDA5 0 0
MAG2 21 406
YLR428C 11 392
CRN1 29 1329
SEN1 4 22
ATG23 15 341
IMD3 32 724
CNA1 21 448
YLR434C 11 277
TSR2 3 2
ECM30 36 806
DIF1 30 494
YLR437C-A 26 428
CAR2 96 4950
LSM3 1 0
MRPL4 0 0
SEC39 8 29
RPS1A 4 23
SIR3 44 1879
ECM7 14 308
YLR444C 8 250
GMC2 4 26
YLR446W 17 791
VMA6 2 1
RPL6B 6 214
FPR4 20 713
HMG2 54 1899
LEU3 26 748
SST2 22 487
RIF2 16 371
FMP27 78 3502
PDP3 7 6
YLR456W 11 400
NBP1 7 222
YLR458W 4 52
GAB1 0 0
YLR460C 20 526
PAU4 5 4
YLR462W 13 12
YLR463C 24 32
YLR464W 24 405
BSC3 6 371
YRF1-4 59 570
YLR466C-A 3 3
YLR466C-B 15 801
YRF1-5 76 116
YLR467C-A 6 7
YML133C 52 85
YML133W-B 0 0
YML133W-A 1 0
COS3 3 2
YML131W 24 1496
ERO1 6 81
COX14 1 0
MSC1 34 716
RSC9 15 69
ERG13 12 66
PGA3 2 1
TUB3 26 1128
PHO84 22 497
YML122C 77 5597
GTR1 18 354
NDI1 28 1215
YML119W 19 458
NGL3 48 3327
NAB6 66 3454
YML116W-A 34 1303
ATR1 36 1134
VAN1 1 0
TAF8 12 415
DAT1 18 818
CTK3 0 0
BUL2 13 165
COQ5 4 32
ZDS2 50 1682
YML108W 3 47
PML39 18 206
URA5 8 456
SEC65 0 0
MDM1 41 1650
NUP188 25 788
CAC2 29 1725
YML101C-A 18 1230
CUE4 39 5264
YML100W-A 28 1493
TSL1 65 3056
YML099W-A 13 260
ARG81 43 2065
TAF13 5 8
VPS9 14 86
YML096W 17 712
RAD10 8 72
YML094C-A 10 230
GIM5 10 108
UTP14 13 238
PRE8 0 0
RPM2 9 129
YML090W 21 915
YML089C 26 988
UFO1 25 708
AIM33 24 1077
ALO1 42 1261
TUB1 1 0
YML084W 21 320
YML083C 40 2724
YML082W 53 2774
ATP18 2 1
TDA9 42 1216
DUS1 28 1395
YML079W 18 890
CPR3 16 517
BET5 1 0
WAR1 63 3425
HMG1 57 2863
FPR3 23 412
RPL6A 2 1
TCB3 98 6567
COG8 16 285
DAK1 51 1085
POB3 1 0
ITT1 22 640
ERV41 28 2342
SMA2 31 513
ORC1 3 47
TEM1 4 73
RPS1B 2 1
MFT1 25 1278
PIF1 5 29
OGG1 33 1398
NTE1 52 1258
HUG1 6 56
SML1 7 166
YML057C-A 22 934
CMP2 56 3215
IMD4 38 1435
SPC2 11 154
CYB2 65 3798
YML054C-A 19 1060
YML053C 20 254
SUR7 35 900
GAL80 18 1034
AIM32 24 647
RSE1 33 1797
GSF2 18 1133
YML047W-A 6 39
PRM6 20 687
PRP39 5 42
RRN11 8 67
CAT2 78 3900
VPS71 23 826
YMD8 18 361
YML037C 28 1182
CGI121 12 152
AMD1 66 3156
YML034C-A 29 1358
SRC1 88 3808
RAD52 11 1010
YML031C-A 2 1
NDC1 11 118
RCF1 4 123
USA1 122 4887
TSA1 3 43
YOX1 76 3982
RPS18B 9 105
YML6 4 11
RPS17A 4 76
NSE5 2 1
APT1 28 1551
UNG1 47 2795
YML020W 88 7218
OST6 24 886
YML018C 29 1879
PSP2 26 964
PPZ1 61 3383
TAF11 2 1
TRM9 58 3085
UBX2 37 2047
YML012C-A 20 1484
ERV25 22 465
RAD33 19 923
SPT5 58 2642
YML009W-B 45 2394
YML009C-A 33 1728
MRPL39 30 1553
ERG6 13 226
YML007C-A 13 373
YAP1 90 2134
GIS4 95 3118
TRM12 191 11202
GLO1 99 7344
YML003W 40 1846
YML002W 202 12722
YPT7 4 10
CDC5 3 35
YMR001C-A 45 1703
MIX17 53 2138
AIM34 28 870
MVP1 77 4361
TAF4 16 132
PLB2 117 3360
YMR007W 81 5049
PLB1 40 1294
ADI1 38 1455
YMR010W 34 1663
HXT2 65 4167
CLU1 126 4613
SEC59 8 252
YMR013C-A 0 0
YMR013W-A 7 152
BUD22 46 1721
ERG5 36 1764
SOK2 87 2683
SPO20 58 2457
YMR018W 64 2731
STB4 91 4350
FMS1 77 3894
MAC1 7 42
UBC7 13 339
MSS1 15 215
MRPL3 3 18
CSI1 23 577
PEX12 16 530
YMR027W 52 2938
TAP42 1 0
FAR8 42 632
RSF1 47 3550
EIS1 65 2404
YMR031W-A 31 1028
HOF1 27 1274
YMR030W-A 22 675
ARP9 0 0
YMR034C 41 2179
IMP2 4 72
MIH1 27 1216
MSN2 65 3081
CCS1 14 444
SUB1 14 307
YET2 32 1500
ARA2 28 823
ARG80 75 10256
MCM1 3 98
IOC4 41 1403
YMR046W-A 0 0
NUP116 25 852
CSM3 13 87
ERB1 6 21
FAR3 13 79
YMR052C-A 13 200
STB2 47 1848
STV1 54 2690
BUB2 59 3668
AAC1 74 3079
YMR057C 45 3283
FET3 46 3361
SEN15 0 0
SAM37 2 1
RNA14 3 2
ARG7 3 2
RIM9 16 691
AEP1 6 7
KAR5 39 2312
SOV1 5 37
UBX4 34 919
AVO2 14 384
NAT4 58 4081
MOT3 17 106
TVP18 6 251
ABF2 0 0
IRC21 12 249
YMR074C 11 539
RCO1 51 1745
YMR075C-A 9 295
PDS5 8 168
VPS20 3 3
CTF18 6 102
SEC14 1 0
NAM7 17 344
ISF1 15 431
YMR082C 25 447
ADH3 15 219
YMR084W 19 744
YMR085W 10 124
SEG1 41 2141
YMR086C-A 29 1147
YMR087W 31 1058
VBA1 23 1015
YTA12 7 10
YMR090W 15 644
NPL6 25 930
AIP1 28 738
UTP15 1 0
CTF13 3 5
SNO1 18 332
SNZ1 14 906
MTG1 3 8
ATP25 2 1
YMR099C 13 428
MUB1 45 1892
SRT1 23 796
YMR102C 21 568
YMR103C 47 2110
YPK2 38 2255
PGM2 8 40
YMR105W-A 16 241
YKU80 35 1057
SPG4 18 911
ILV2 6 13
MYO5 39 1114
HFD1 28 822
YMR111C 26 635
MED11 1 0
FOL3 1 0
YMR114C 30 708
MGR3 3 2
ASC1 8 172
SPC24 0 0
SHH3 17 291
ASI1 25 1002
YMR119W-A 9 127
ADE17 16 197
RPL15B 21 314
YMR122C 62 3214
YMR122W-A 4 51
PKR1 1 0
EPO1 26 756
STO1 18 239
DLT1 3 41
SAS2 15 327
ECM16 6 7
POM152 58 2846
YMR130W 15 480
RRB1 3 2
JLP2 6 253
REC114 13 112
ERG29 3 39
GID8 13 132
YMR135W-A 52 2486
GAT2 41 1179
PSO2 29 875
CIN4 8 55
RIM11 3 8
SIP5 6 153
YMR141C 6 27
RPL13B 1 0
YMR141W-A 1 0
RPS16A 4 22
YMR144W 34 1514
NDE1 33 1749
TIF34 3 3
YMR147W 19 550
OSW5 28 428
SWP1 2 3
IMP1 4 43
YIM2 15 373
YIM1 9 152
NUP53 14 456
YMR153C-A 1 0
RIM13 32 1769
YMR155W 32 1031
TPP1 15 289
AIM36 14 207
MRPS8 1 0
YMR158C-A 5 43
YMR158W-B 4 9
ATG16 6 18
YMR160W 44 1025
HLJ1 11 257
DNF3 58 1846
INP2 37 1679
MSS11 18 237
PAH1 22 438
YMR166C 12 697
MLH1 33 454
CEP3 0 0
ALD3 26 538
ALD2 20 179
EAR1 26 1022
HOT1 53 1289
YMR172C-A 7 24
DDR48 14 102
YMR173W-A 16 114
PAI3 8 130
SIP18 8 132
YMR175W-A 14 385
ECM5 80 3278
MMT1 25 452
YMR178W 8 152
SPT21 13 385
CTL1 41 2629
YMR181C 8 34
RGM1 5 13
YMR182W-A 3 32
SSO2 3 4
ADD37 10 380
RTP1 4 6
HSC82 27 816
YMR187C 42 2067
MRPS17 4 171
GCV2 21 335
SGS1 40 1973
SPG5 12 363
GYL1 30 1314
MRPL24 0 0
YMR193C-A 12 499
RPL36A 8 78
CMC4 25 1197
YMR194C-A 40 1740
ICY1 8 121
YMR196W 47 1500
VTI1 2 17
CIK1 15 187
CLN1 30 623
ROT1 1 0
RAD14 18 364
ERG2 4 3
TOM40 1 0
INP1 14 160
PFK2 10 33
YMR206W 43 1501
HFA1 35 572
ERG12 4 6
YMR209C 24 293
YMR210W 25 597
DML1 1 0
EFR3 20 280
CEF1 12 377
SCJ1 12 145
GAS3 12 204
SKY1 12 203
GUA1 2 1
TRS130 11 880
ESC1 49 1813
ERG8 5 5
YMR221C 29 1087
FSH2 13 237
UBP8 10 270
MRE11 30 514
MRPL44 10 221
YMR226C 2 2
TAF7 7 107
MTF1 0 0
RRP5 6 16
RPS10B 7 256
YMR230W-A 15 504
PEP5 12 153
FUS2 21 123
TRI1 4 95
RNH1 19 898
RNA1 3 33
TAF9 0 0
BCH1 22 619
DFG5 29 1505
RNT1 4 3
CUS1 35 1243
YHM2 16 622
RPL20A 3 10
YMR242W-A 3 6
ZRC1 21 154
YMR244W 43 1418
COA6 0 0
YMR245W 44 1635
FAA4 111 9198
RKR1 43 1001
YMR247W-A 0 0
GAD1 32 698
GTO3 67 5304
HOR7 0 0
YMR252C 15 719
YMR253C 17 588
YMR254C 30 680
GFD1 8 47
COX7 0 0
PET111 4 6
ROY1 29 779
TRM732 42 2608
TIF11 0 0
TPS3 32 678
YMR262W 19 792
SAP30 6 23
CUE1 14 566
YMR265C 14 533
RSN1 49 1248
PPA2 4 3
PRP24 1 0
TMA23 4 5
RRN9 0 0
URA10 14 410
SCS7 24 895
YMR272W-A 0 0
YMR272W-B 2 3
ZDS1 18 727
RCE1 9 46
BUL1 22 1178
DSK2 21 630
FCP1 4 22
PRM15 13 846
YMR279C 33 1031
CAT8 54 1823
GPI12 1 0
AEP2 7 36
RIT1 6 50
YKU70 18 165
NGL2 43 1730
MRPL33 0 0
DSS1 2 1
HSH155 15 131
ABZ2 10 202
HAS1 1 0
YMR290W-A 4 5
TDA1 24 823
GOT1 16 395
HER2 4 3
JNM1 3 4
YMR294W-A 7 34
YMR295C 8 32
LCB1 2 1
PRC1 29 1795
LIP1 0 0
DYN3 2 31
ADE4 1 0
ATM1 6 6
YME2 25 1478
ADH2 18 547
UBP15 25 1950
YMR304C-A 9 50
SCW10 21 1088
FKS3 78 2984
YMR306C-A 15 88
GAS1 0 0
YMR307C-A 0 0
PSE1 3 2
NIP1 6 8
YMR310C 13 224
GLC8 8 55
ELP6 11 46
TGL3 28 1226
PRE5 0 0
YMR315W 23 777
YMR315W-A 3 99
DIA1 20 838
YMR316C-A 12 316
YMR316C-B 3 6
YMR317W 36 1200
ADH6 22 556
FET4 23 552
YMR320W 13 244
YMR321C 2 1
SNO4 3 2
ERR3 8 8
YMR324C 3 2
PAU19 1 0
YMR326C 2 1
YRF1-6 71 130
YNL339W-B 4 3
YNL339W-A 0 0
YNL338W 4 3
YNL337W 4 4
COS1 12 292
DDI3 6 9
SNO2 10 55
SNZ2 11 46
THI12 21 474
AAD14 14 423
RPD3 7 54
PEX6 28 1360
MDJ2 15 544
EGT2 32 551
PFA3 25 695
FIG4 30 1038
YNL324W 6 125
LEM3 8 123
KRE1 10 116
VNX1 44 1949
YNL320W 7 117
YNL319W 2 6
HXT14 23 538
PFS2 3 2
PHA2 20 1064
ATP11 0 0
DAL82 15 370
EMW1 6 12
RFA2 4 36
SKP2 15 522
ZIM17 1 0
STB1 58 1755
KRI1 4 13
MCK1 5 17
MRPS18 2 3
BXI1 11 126
YPT11 44 1791
YNL303W 10 252
RPS19B 1 0
RPL18B 10 182
TOS6 7 105
TRF5 20 642
CLA4 13 130
MON2 13 264
YNL296W 2 1
YNL295W 12 74
RIM21 30 991
MSB3 28 1508
PUS4 12 279
MID1 26 860
RFC3 4 4
PCL1 11 277
CAF40 15 435
SEC21 9 140
CUS2 21 1017
YNL285W 55 3811
MRPL10 1 0
WSC2 27 828
POP3 11 374
HCH1 4 58
ERG24 2 1
PRM1 68 3235
CAF120 155 9918
YNL277W-A 21 1028
MET2 28 1106
YNL276C 10 138
BOR1 24 755
GOR1 10 188
TOF1 19 239
SEC2 10 138
BNI1 45 1842
ALP1 30 589
BSC4 19 1216
LYP1 25 722
PIK1 1 0
YNL266W 5 21
IST1 15 401
PDR17 17 166
YIF1 4 67
POL2 14 202
ORC5 1 0
LTO1 5 32
ATX1 4 89
DSL1 13 65
SIP3 48 2367
FOL1 1 0
GIS2 11 397
RTC4 23 819
TEX1 24 799
MRPL17 1 0
NRD1 7 35
RAD50 5 5
MPA43 22 284
RPA49 4 11
YNL247W 2 1
VPS75 21 1198
CWC25 2 15
SUI1 2 2
SLA2 10 66
ATG2 32 1603
ZWF1 19 423
NAR1 32 706
LAP3 32 1395
KEX2 16 407
YTP1 29 608
SIN4 11 150
YNL235C 7 176
YNL234W 22 789
BNI4 29 872
CSL4 2 1
PDR16 55 2793
ELA1 52 2078
URE2 1 0
YNL228W 17 526
JJJ1 20 555
YNL226W 7 96
CNM67 3 6
SQS1 19 730
ATG4 13 102
SSU72 1 0
POP1 9 10
ADE12 0 0
ALG9 9 63
MGS1 26 2102
YNL217W 25 357
RAP1 8 9
IES2 4 96
PEX17 3 78
RRG9 0 0
VID27 13 133
YNL211C 7 93
MER1 9 352
SSB2 10 217
YNL208W 12 93
RIO2 6 103
RTT106 47 1654
YNL205C 15 1145
SPS18 14 685
YNL203C 11 326
SPS19 39 1242
PSY2 27 747
YNL200C 10 328
GCR2 13 246
YNL198C 5 98
WHI3 13 297
SLZ1 18 184
YNL195C 15 1391
YNL194C 7 177
YNL193W 43 1319
CHS1 15 307
DUG3 29 856
YNL190W 4 43
SRP1 1 0
KAR1 5 17
SWT21 16 726
UBP10 19 868
MRPL19 1 0
YNL184C 13 175
NPR1 27 710
IPI3 2 1
YNL181W 7 446
RHO5 6 41
YNL179C 23 788
RPS3 0 0
MRPL22 2 2
TDA7 28 1376
NOP13 22 1470
YNL174W 3 160
MDG1 17 352
APC1 14 41
YNL171C 4 5
YNL170W 4 7
PSD1 3 2
FMP41 24 1482
SKO1 20 642
BNI5 19 801
YNL165W 25 820
IBD2 13 142
RIA1 8 7
YNL162W-A 0 0
RPL42A 3 3
CBK1 30 806
YGP1 19 296
ASI2 13 292
PGA1 0 0
IGO1 6 48
NSG2 8 105
CUZ1 10 396
YCK2 22 1604
GIM3 8 305
INN1 5 35
RPC31 2 2
YNL150W 3 2
PGA2 0 0
ALF1 104 6452
LSM7 0 0
YNL146C-A 19 577
YNL146W 3 58
MFA2 1 0
YNL144C 35 1737
YNL144W-A 2 73
YNL143C 26 493
MEP2 17 480
AAH1 26 603
YNL140C 3 28
THO2 15 201
YSF3 4 66
SRV2 1 0
NAM9 2 1
EAF7 20 691
FPR1 7 28
YNL134C 11 150
FYV6 1 0
KRE33 2 3
TOM22 0 0
CPT1 14 344
DGR1 10 286
NRK1 13 134
TEP1 33 1364
FAR11 43 720
SPC98 2 1
ESBP6 33 1351
NAF1 4 7
NMA111 48 2218
YNL122C 10 301
TOM70 16 217
YNL120C 2 1
NCS2 4 5
DCP2 20 376
MLS1 35 1003
DMA2 21 257
YNL115C 21 395
YNL114C 6 25
RPC19 0 0
DBP2 7 15
CYB5 12 118
NOP15 1 0
YNL109W 7 81
YNL108C 18 353
YAF9 0 0
INP52 67 3072
RRT16 5 21
LEU4 43 2037
YNL103W-A 5 16
MET4 9 122
POL1 9 39
AVT4 27 787
MIC27 17 701
OCA1 12 541
RAS2 9 41
YNL097C-B 12 641
PHO23 42 1165
YNL097W-A 2 4
RPS7B 12 636
YNL095C 24 369
APP1 39 1209
YPT53 15 211
YNL092W 35 1173
NST1 44 2169
RHO2 7 13
YNL089C 7 13
TOP2 10 143
TCB2 107 4289
SNN1 7 54
MKT1 21 518
END3 3 2
SAL1 22 392
PMS1 27 1426
SWS2 3 11
EOS1 10 63
TPM1 2 1
NIS1 46 736
APJ1 35 1313
MKS1 17 242
IMP4 2 1
MLF3 13 526
MSK1 2 1
RNH201 40 2162
LAT1 7 52
TOM7 2 3
RPL16B 1 0
FKH2 57 3354
YNL067W-A 13 233
YNL067W-B 16 580
RPL9B 6 41
SUN4 88 5338
AQR1 36 1030
YDJ1 5 15
MTQ1 41 543
GCD10 14 548
NOP2 9 37
ARP5 2 1
YNL058C 18 241
YNL057W 6 19
OCA2 15 178
POR1 0 0
VAC7 24 699
MSG5 65 3083
COX5A 2 1
COG5 9 182
YNL050C 31 573
SFB2 25 471
ALG11 3 5
SLM2 56 2570
YNL046W 34 1465
LAP2 54 3316
YIP3 14 482
YNL043C 9 293
YNL042W-B 29 736
BOP3 53 3203
COG6 20 387
YNL040W 33 1389
BDP1 9 77
GPI15 4 4
IDH1 4 3
NCE103 3 65
YNL035C 59 3719
YNL034W 59 2981
YNL033W 8 42
SIW14 38 1212
HHT2 13 330
HHF2 3 26
KTR5 96 2498
YNL028W 31 1105
CRZ1 55 2145
SAM50 1 0
SSN8 7 15
KSH1 3 2
YNL024C 59 3599
FAP1 82 4083
RCM1 35 1031
HDA1 53 1883
ARK1 87 3645
YNL019C 5 4
YNL018C 69 3231
YNL017C 71 3990
PUB1 45 1521
PBI2 2 1
HEF3 111 4566
YNL013C 19 156
SPO1 136 6347
YNL011C 59 2026
YNL010W 61 4534
IDP3 131 7710
ASI3 177 11545
SIS1 2 5
LST8 1 0
MRP7 44 1001
HRB1 465 44747
PET8 8 141
RLP7 6 232
DOM34 54 2489
CIT1 98 4254
YNR001W-A 63 2487
ATO2 289 19037
RPC34 14 362
YNR003W-A 0 0
SWM2 20 821
YNR005C 9 49
VPS27 24 350
ATG3 12 238
LRO1 159 6562
NRM1 49 1832
CSE2 11 168
PRP2 33 1373
URK1 87 4901
PHO91 106 5160
YNR014W 92 3242
SMM1 114 7665
ACC1 9 12
TIM23 4 3
RCF2 79 5064
ARE2 48 2652
ATP23 28 895
YNR021W 33 958
MRPL50 16 389
SNF12 3 26
MPP6 21 399
YNR025C 12 147
SEC12 18 370
BUD17 37 2070
CPR8 47 1447
YNR029C 22 920
ALG12 49 1433
SSK2 83 2361
PPG1 31 1535
HUB1 11 653
ABZ1 59 2852
SOL1 39 2249
YNR034W-A 14 289
ARC35 4 13
MRPS12 2 1
RSM19 0 0
DBP6 3 4
ZRG17 27 402
YNR040W 32 1186
COQ2 6 118
YNR042W 0 0
MVD1 0 0
AGA1 37 1820
PET494 6 99
TRM112 0 0
FPK1 46 2022
YNR048W 24 1169
MSO1 29 1336
LYS9 3 3
BRE5 16 156
POP2 21 672
NOG2 0 0
ESF2 7 157
HOL1 51 1693
BIO5 50 2308
BIO4 73 4297
BIO3 50 2074
MNT4 43 2162
FRE4 79 3690
YNR061C 19 995
YNR062C 13 376
YNR063W 48 2116
YNR064C 37 1673
YNR065C 45 977
YNR066C 44 3050
DSE4 57 1684
YNR068C 12 310
BSC5 24 907
PDR18 2 1
YNR071C 1 0
HXT17 2 1
YNR073C 6 22
AIF1 0 0
COS10 38 1762
YNR075C-A 14 197
PAU6 1 0
YNR077C 3 3
YOL166W-A 4 20
YOL166C 4 43
AAD15 8 67
YOL164W-A 1 0
BDS1 67 4472
YOL163W 18 637
YOL162W 9 139
PAU20 2 37
YOL160W 9 130
YOL159C-A 8 260
YOL159C 13 766
ENB1 46 1270
IMA2 17 989
HXT11 12 167
YOL155W-A 1 0
HPF1 7 21
ZPS1 16 566
FRE7 50 2519
GRE2 15 275
YOL150C 6 20
DCP1 1 0
SPT20 14 293
PEX11 6 28
PSF3 1 0
CTR9 21 1307
NOP8 10 160
RIB4 1 0
RRP40 2 2
PPM2 60 3298
ARG8 6 172
CDC33 0 0
RTC1 54 1653
BSC6 22 1595
PFK27 25 563
MED7 1 0
YOL134C 23 1344
HRT1 2 1
GAS4 36 1309
YOL131W 3 28
ALR1 13 334
VPS68 5 20
YGK3 31 843
RPL25 0 0
MDH2 19 376
TRM13 49 2166
TRM11 26 1188
HRP1 1 0
SMF1 46 1771
RPS19A 10 226
RPL18A 2 2
MCH4 23 721
YOL118C 14 1002
RRI2 26 2474
MSN1 15 714
PAP2 7 16
YOL114C 9 177
SKM1 27 1474
MSB4 41 1376
MDY2 19 601
SHR5 106 4174
ZEO1 1 0
INO4 1 0
YOL107W 23 1037
YOL106W 16 381
WSC3 19 448
NDJ1 19 734
ITR2 37 1920
TPT1 1 0
IZH4 5 18
PKH2 36 1155
YOL099C 10 320
YOL098C 31 1373
YOL097W-A 12 270
WRS1 2 1
COQ3 8 10
HMI1 3 2
RFC4 2 1
TRM10 11 555
YPQ1 17 434
SPO21 30 1066
MSH2 36 1374
HAL9 70 3695
MPD2 12 532
DUF1 51 1351
MHF1 18 739
ADH1 4 7
YOL085W-A 25 658
YOL085C 34 1475
PHM7 66 3472
ATG34 29 1039
YOL083C-A 3 10
ATG19 42 1718
IRA2 17 62
REX4 17 797
YOL079W 2 4
AVO1 20 939
ATP19 5 225
BRX1 2 1
MDM20 4 33
YOL075C 66 3227
DSC2 15 404
THP1 8 27
SDH5 5 68
NBA1 35 2175
NUF2 2 2
HST1 28 853
RTG1 5 38
RIB2 19 524
INP54 22 885
MET22 7 30
CRT10 70 4297
APM4 22 665
PRS5 62 4421
MAM3 107 5772
GPD2 49 4567
ARG1 3 2
YOL057W 43 1852
GPM3 29 2323
THI20 54 1611
PSH1 43 2043
AIM39 62 2174
DDR2 1 0
SPE2 57 1358
GAL11 21 222
YOL050C 8 62
GSH2 16 322
RRT8 19 833
LDS2 31 1005
YOL046C 20 1466
PSK2 59 3478
PEX15 31 864
NTG2 26 1292
NGL1 38 2114
NOP12 55 2854
RPS15 1 0
RPP2A 4 36
YOL038C-A 12 354
PRE6 3 2
YOL037C 11 442
YOL036W 56 2306
YOL035C 19 327
SMC5 11 224
MSE1 2 1
OPI10 26 631
SIL1 49 2766
GAS5 29 1054
YOL029C 13 710
YAP7 7 368
MDM38 17 194
MIM1 8 75
LAG2 59 2325
YOL024W 23 457
IFM1 13 457
TSR4 3 2
DIS3 5 29
TAT2 39 1860
YOL019W-A 54 3712
YOL019W 104 5352
TLG2 13 802
ESC8 105 5917
CMK2 51 3163
IRC10 40 1838
YOL014W 5 21
YOL013W-B 7 120
YOL013W-A 37 4039
HRD1 71 2795
HTZ1 7 13
PLB3 134 7152
RCL1 11 540
MDM12 4 32
COQ10 25 819
CSI2 92 6063
TOP1 50 1167
RPB11 0 0
SIN3 135 7794
PFA4 97 5016
IZH2 164 16212
PHO80 19 1138
RRP6 71 3415
ALG6 41 878
YSP3 199 13287
UTP23 14 176
DNL4 238 11207
TSR3 82 5142
SGT2 76 3677
SLG1 13 128
YOR008C-A 17 695
YOR008W-B 10 172
TIR4 29 727
TIR2 22 829
AUS1 168 6778
YOR011W-A 21 569
YOR012W 26 1064
IRC11 40 1628
RTS1 15 193
YOR015W 36 620
ERP4 29 511
PET127 84 2975
ROD1 32 1045
YOR019W 106 4956
HSP10 1 0
YOR020W-A 9 50
SFM1 10 162
YOR022C 71 2434
AHC1 34 2060
YOR024W 75 6978
HST3 53 1238
BUB3 14 341
STI1 41 1109
CIN5 35 563
YOR029W 42 1760
DFG16 55 1682
HMS1 39 2163
YOR032W-A 17 963
EXO1 60 2531
AKR2 60 2953
YOR034C-A 45 1477
SHE4 40 2122
PEP12 11 201
CYC2 22 893
HIR2 58 1733
CKB2 10 112
GLO4 29 1865
YOR041C 16 850
CUE5 36 2337
WHI2 21 454
IRC23 8 136
TOM6 3 30
DBP5 3 20
STD1 12 211
RAT1 2 7
RSB1 28 498
YOR050C 20 293
ETT1 28 644
TMC1 12 976
YOR053W 18 158
VHS3 63 2759
YOR055W 14 317
NOB1 19 554
SGT1 4 4
ASE1 43 1033
LPL1 21 494
SLD7 5 47
CKA2 8 93
YOR062C 20 362
RPL3 2 1
YNG1 15 906
CYT1 0 0
MSA1 33 1607
ALG8 14 119
VPS5 5 16
VAM10 0 0
GYP1 19 1328
NRT1 40 2949
YOR072W 38 1476
YOR072W-A 44 3368
YOR072W-B 17 382
SGO1 35 1097
CDC21 3 3
YOR073W-A 0 0
UFE1 2 1
SKI7 21 1581
RTS2 19 449
BUD21 12 60
ATX2 19 505
DIA2 20 949
TGL5 60 2756
YOR082C 15 230
WHI5 67 1226
LPX1 68 3504
OST3 21 272
TCB1 39 727
YVC1 50 1768
VPS21 0 0
PTC5 49 1611
TMA46 54 4676
ECM3 36 2314
YOR093C 46 989
ARF3 9 175
RKI1 4 51
RPS7A 5 4
YOR097C 16 483
NUP1 10 46
KTR1 49 2652
CRC1 25 732
RAS1 9 233
YOR102W 2 2
OST2 0 0
PIN2 10 577
YOR105W 6 411
VAM3 5 15
RGS2 31 1270
LEU9 35 1987
YOR108C-A 4 56
INP53 39 1129
TFC7 7 43
YOR111W 17 213
CEX1 21 1017
AZF1 20 701
YOR114W 21 1003
TRS33 18 822
RPO31 10 61
RPT5 0 0
RTC5 21 1314
RIO1 5 4
GCY1 16 364
YOR121C 3 10
PFY1 0 0
LEO1 28 571
UBP2 29 1067
CAT5 3 75
IAH1 31 2010
RGA1 32 1043
ADE2 1438 276885
AFI1 35 1270
ORT1 3 5
